asset_id,lon,lat,occupancy_type,value,deductible,limit,construction_type,basement,floors
A00000,-0.959570227939955,51.2828547150167,residential,196853.0,1969.0,196852.5302681169,masonry,1,1
A00001,-1.0023183444765857,51.31718475996961,residential,217284.0,2173.0,217284.27322261428,steel_frame,1,2
A00002,-0.9370003909275502,51.464413298050935,commercial,681126.0,6811.0,681125.7485367354,concrete,1,1
A00003,-1.039783477671908,51.60401696637104,industrial,1391987.0,13920.0,1391987.1938467943,masonry,1,1
A00004,-0.9650203953097952,51.41342759571292,industrial,2319009.0,23190.0,2319009.0565078533,steel_frame,1,2
A00005,-0.8522065193776636,51.30233922698864,residential,328937.0,3289.0,328937.18819501536,wood_frame,0,2
A00006,-0.8848681196628936,51.46382310119846,residential,406244.0,4062.0,406244.05020426353,steel_frame,1,2
A00007,-1.0408844044099745,51.612576883789515,commercial,1493022.0,14930.0,1493022.219523256,masonry,1,3
A00008,-1.1070349233711652,51.57591096421175,industrial,1122345.0,11223.0,1122344.5662662997,concrete,1,1
A00009,-0.9936596004811725,51.588572236950085,residential,296289.0,2963.0,296288.66491912794,wood_frame,0,2
A00010,-1.0220886925284955,51.388314041750824,industrial,2498679.0,24987.0,2498678.532590416,steel_frame,1,1
A00011,-0.8705299344074423,51.32754083465485,residential,543547.0,5435.0,543546.5747993329,wood_frame,1,2
A00012,-1.0177649568668206,51.57693911456992,residential,157255.0,1573.0,157254.8840384101,steel_frame,0,2
A00013,-0.9779968760051411,51.54311571853941,residential,156737.0,1567.0,156737.44762750552,steel_frame,0,1
A00014,-0.900294166015949,51.56906466275586,residential,295041.0,2950.0,295041.3927766436,masonry,1,3
A00015,-1.0566893917722744,51.380403025207485,residential,225545.0,2255.0,225545.08223561166,wood_frame,0,2
A00016,-1.0041769687848878,51.33732476678899,residential,180980.0,1810.0,180980.21170043133,steel_frame,1,2
A00017,-0.8032314230695207,51.31852282087304,commercial,1031356.0,10314.0,1031356.3073967213,masonry,0,3
A00018,-0.8309258231214224,51.57695435371486,residential,193847.0,1938.0,193847.34064562072,wood_frame,1,2
A00019,-0.9311969900044701,51.596963140380126,residential,118186.0,1182.0,118185.66877962531,concrete,1,1
A00020,-0.9799179981048274,51.37053734914082,residential,250240.0,2502.0,250240.06167974495,masonry,0,2
A00021,-1.0776002720821625,51.57856197826065,residential,262947.0,2629.0,262947.43285325967,wood_frame,0,3
A00022,-0.9526034442426692,51.37637103018673,residential,311989.0,3120.0,311989.06098780566,steel_frame,0,2
A00023,-1.0017945357869105,51.4036426180699,residential,345220.0,3452.0,345220.36352642986,wood_frame,0,1
A00024,-0.9569898433246722,51.452257418536014,residential,267972.0,2680.0,267972.2981986317,masonry,0,4
A00025,-1.020526404427647,51.31073345983523,residential,232965.0,2330.0,232964.5399900237,masonry,1,3
A00026,-0.9839057776471787,51.32965427901104,commercial,726437.0,7264.0,726437.3516461616,concrete,1,2
A00027,-1.000854533602669,51.32932696657359,residential,145375.0,1454.0,145375.3418291175,masonry,1,2
A00028,-0.9489572002433546,51.32662893960697,commercial,783794.0,7838.0,783793.8539540087,concrete,0,1
A00029,-0.8515665176214412,51.43136353115091,commercial,1266100.0,12661.0,1266099.720800649,wood_frame,0,1
A00030,-0.9136654702241704,51.26120575048823,residential,313304.0,3133.0,313304.0817473096,wood_frame,1,1
