year,occurrence_loss,aggregate_loss,n_events
1,71495977.04201338,107976241.93381678,2
2,15783396.409863852,15783396.409863852,1
3,10050821.529921044,10050821.529921044,1
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,116273112.51108614,116273112.51108614,1
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,67717804.0780963,67717804.0780963,1
13,0.0,0.0,0
14,0.0,0.0,0
15,14730868.059647173,29461736.119294345,2
16,211446138.32526934,211446138.32526934,1
17,51272576.40259859,51272576.40259859,1
18,8391508.878099462,8391508.878099462,1
19,5488882.992261764,5488882.992261764,1
20,37500682.30100186,37500682.30100186,1
21,11993059.098250525,11993059.098250525,1
22,0.0,0.0,0
23,0.0,0.0,0
24,0.0,0.0,0
25,56279774.79001262,56279774.79001262,1
26,9854264.830902014,9854264.830902014,1
27,5665798.4090952445,5665798.4090952445,1
28,41199185.613181844,49078954.02383217,2
29,0.0,0.0,0
30,0.0,0.0,0
31,594924323.4635607,700775120.94924,3
32,0.0,0.0,0
33,19661155.565997753,31390076.55771908,2
34,10045177.683007514,10045177.683007514,1
35,0.0,0.0,0
36,0.0,0.0,0
37,20130587.59410746,20130587.59410746,1
38,0.0,0.0,0
39,107286225.54187241,107286225.54187241,1
40,130104359.93696454,130104359.93696454,1
41,55200699.350858115,55200699.350858115,1
42,0.0,0.0,0
43,0.0,0.0,0
44,0.0,0.0,0
45,16625922.723700646,16625922.723700646,1
46,234681093.7623715,234681093.7623715,1
47,108186737.72935107,206495420.48701853,2
48,0.0,0.0,0
49,11908849.533064563,11908849.533064563,1
50,0.0,0.0,0
51,30011049.916122988,30011049.916122988,1
52,6005200.440237049,6005200.440237049,1
53,5488882.992261764,5488882.992261764,1
54,5665798.4090952445,5665798.4090952445,1
55,0.0,0.0,0
56,0.0,0.0,0
57,127767431.47308582,176474767.58360893,2
58,6991775.479865093,6991775.479865093,1
59,0.0,0.0,0
60,0.0,0.0,0
61,0.0,0.0,0
62,61432234.91246064,71214393.41096406,2
63,0.0,0.0,0
64,14667767.77201388,14667767.77201388,1
65,0.0,0.0,0
66,3799764.862643244,3799764.862643244,1
67,380586486.85901403,380586486.85901403,1
68,320235956.7104534,320235956.7104534,1
69,0.0,0.0,0
70,324248324.3325214,324248324.3325214,1
71,0.0,0.0,0
72,3799764.862643244,3799764.862643244,1
73,0.0,0.0,0
74,95034577.87419945,95034577.87419945,1
75,0.0,0.0,0
76,102933064.03536722,102933064.03536722,1
77,0.0,0.0,0
78,13956474.722370777,13956474.722370777,1
79,0.0,0.0,0
80,41708084.91622211,41708084.91622211,1
81,52510871.988275796,52510871.988275796,1
82,10042145.998409696,10042145.998409696,1
83,0.0,0.0,0
84,66155230.57748134,87777405.4686746,3
85,13497094.074152246,13497094.074152246,1
86,213487724.810677,213487724.810677,1
87,0.0,0.0,0
88,0.0,0.0,0
89,95034577.87419945,106763498.86592078,2
90,0.0,0.0,0
91,10785986.148584582,24758356.466424804,3
92,55097953.418694735,113141749.5466815,3
93,0.0,0.0,0
94,178083795.41614407,195820371.6744925,2
95,30732134.933129326,30732134.933129326,1
96,14128361.669668384,14128361.669668384,1
97,0.0,0.0,0
98,0.0,0.0,0
99,0.0,0.0,0
100,0.0,0.0,0
101,70247373.90946679,70247373.90946679,1
102,13421985.117011957,13421985.117011957,1
103,25666719.300879225,39795080.97054761,2
104,85909858.7748071,85909858.7748071,1
105,0.0,0.0,0
106,15165658.529098004,37243535.042813495,3
107,298543594.5063716,351822620.00734895,2
108,37305734.96849781,37305734.96849781,1
109,0.0,0.0,0
110,0.0,0.0,0
111,0.0,0.0,0
112,21586983.873457942,34967840.879481554,2
113,10825745.233054593,10825745.233054593,1
114,0.0,0.0,0
115,11232988.936521646,11232988.936521646,1
116,177998082.6722674,491932955.84379196,3
117,377727312.1043026,382482437.7618404,2
118,0.0,0.0,0
119,0.0,0.0,0
120,53815158.625362016,77064299.44173092,2
121,26620656.550111208,26620656.550111208,1
122,17379394.173181348,22868277.16544311,2
123,7503646.437152933,7503646.437152933,1
124,6554834.692167189,12551458.971315034,2
125,0.0,0.0,0
126,0.0,0.0,0
127,0.0,0.0,0
128,48693626.09443842,54698826.534675464,2
129,0.0,0.0,0
130,119869600.13750593,133826074.8598767,2
131,0.0,0.0,0
132,301816518.6380029,301816518.6380029,1
133,83100719.93274279,114091529.70728126,2
134,0.0,0.0,0
135,10045177.683007514,16860315.317601584,2
136,22726325.56925513,22726325.56925513,1
137,112184322.83102371,146785806.41821405,3
138,57413426.87638447,57413426.87638447,1
139,0.0,0.0,0
140,0.0,0.0,0
141,61793184.886337504,92486881.22096704,2
142,33518408.073252488,54158659.052739084,3
143,6750026.997128538,6750026.997128538,1
144,0.0,0.0,0
145,0.0,0.0,0
146,41427277.004355825,41427277.004355825,1
147,0.0,0.0,0
148,9854264.830902014,14670804.800031096,2
149,0.0,0.0,0
150,0.0,0.0,0
151,0.0,0.0,0
152,14667767.77201388,14667767.77201388,1
153,24470562.19356168,24470562.19356168,1
154,31662217.629934967,56530754.56698566,2
155,16625922.723700646,16625922.723700646,1
156,13106715.046466138,20814022.10667315,2
157,184164278.7337636,212458258.02505928,3
158,27885546.977948673,27885546.977948673,1
159,0.0,0.0,0
160,0.0,0.0,0
161,0.0,0.0,0
162,64781985.52212747,64781985.52212747,1
163,6508001.343298825,6508001.343298825,1
164,52510871.988275796,52510871.988275796,1
165,10774928.437592648,10774928.437592648,1
166,17379394.173181348,17379394.173181348,1
167,0.0,0.0,0
168,10198047.679891802,15151533.341981687,2
169,0.0,0.0,0
170,7375967.542651335,7375967.542651335,1
171,29749122.54602083,29749122.54602083,1
172,0.0,0.0,0
173,24403435.90729855,29060971.15617783,2
174,0.0,0.0,0
175,61432234.91246064,61432234.91246064,1
176,106200654.66038036,126956504.09288645,3
177,19490378.32271216,19490378.32271216,1
178,6991775.479865093,6991775.479865093,1
179,0.0,0.0,0
180,0.0,0.0,0
181,0.0,0.0,0
182,149290880.2878418,149290880.2878418,1
183,5665798.4090952445,5665798.4090952445,1
184,0.0,0.0,0
185,9981064.27464203,9981064.27464203,1
186,17379394.173181348,17379394.173181348,1
187,0.0,0.0,0
188,0.0,0.0,0
189,0.0,0.0,0
190,244197798.68373942,305250044.4634915,3
191,50178331.26088573,93176503.7073113,3
192,0.0,0.0,0
193,8749370.200578064,8749370.200578064,1
194,0.0,0.0,0
195,0.0,0.0,0
196,0.0,0.0,0
197,10952764.936390903,10952764.936390903,1
198,112044799.3066122,175304889.08223158,3
199,5665798.4090952445,5665798.4090952445,1
200,0.0,0.0,0
201,43279478.923881516,79370938.209518,3
202,100039057.76811884,100039057.76811884,1
203,45601306.037989445,62155333.35008454,3
204,52510871.988275796,52510871.988275796,1
205,203489783.36316997,331674066.72354466,3
206,100511951.524465,100511951.524465,1
207,0.0,0.0,0
208,12474405.967996178,12474405.967996178,1
209,0.0,0.0,0
210,5996624.279147845,5996624.279147845,1
211,22726325.56925513,22726325.56925513,1
212,36684845.61445957,45933481.999893054,2
213,0.0,0.0,0
214,333801957.33551615,333801957.33551615,1
215,6037197.745038094,6037197.745038094,1
216,13591983.5353877,21599631.929708473,2
217,0.0,0.0,0
218,26842822.900202997,26842822.900202997,1
219,120808315.81772333,120808315.81772333,1
220,0.0,0.0,0
221,0.0,0.0,0
222,9248636.38543349,9248636.38543349,1
223,130104359.93696454,173383838.86084604,2
224,13497094.074152246,19957261.98508875,2
225,37500682.30100186,42255807.958539665,2
226,13380857.006023608,13380857.006023608,1
227,0.0,0.0,0
228,0.0,0.0,0
229,0.0,0.0,0
230,0.0,0.0,0
231,0.0,0.0,0
232,0.0,0.0,0
233,14220661.234194111,14220661.234194111,1
234,13935953.733035963,24134001.412927765,2
235,0.0,0.0,0
236,0.0,0.0,0
237,20524544.174774922,30566690.17318462,2
238,16049793.483649122,23425761.026300456,2
239,0.0,0.0,0
240,41101875.11812751,41101875.11812751,1
241,44304989.20945672,44304989.20945672,1
